Кабінет Міністрів України;КМУ;00000003
Міністерство внутрішніх справ України;МВС України;00032684
Міністерство аграрної політики та продовольства України;Мінагрополітики України;37471967
Міністерство екології та природних ресурсів України;Мінприроди України;37552996
Міністерство економічного розвитку і торгівлі України;Мінекономрозвитку України;37508596
Міністерство енергетики та вугільної промисловості України;Міненерговугілля України;37471933
Міністерство закордонних справ України;МЗС;00026620
Міністерство інфраструктури України;Мінінфраструктури України;37472062
Міністерство культури України;Мінкультури України;37535703
Міністерство надзвичайних ситуацій;МНС;00013528
Міністерство оборони України;Міноборони України;00034022
Міністерство освіти і науки України;МОН України;38621185
Міністерство охорони здоров'я України;МОЗ України;00012925
Міністерство регіонального розвитку, будівництва та житлово-комунального;Мінрегіон України;37471928
Міністерство соціальної політики України;Мінсоцполітики України;37567866
Міністерство фінансів України;Мінфін України;00013480
Міністерство юстиції України;Мін'юст України;00015622
Державне агентство водних ресурсів;Держводагентство України;37472104
Державне агентство екологічних інвестицій;Держекоінвестагентство України;37552975
Державне агентство з енергоефективності та енергозбереження України;Держенергоефективності України;37536010
Державне агентство з інвестицій та управління національними проектами;Держінвестпроект України;37508308
Державне агентство з питань науки, інновацій та інформатизації України;Держінформнауки України;37471818
Державне агентство земельних ресурсів України;Держземагентство України;37552980
Державне агентство лісових ресурсів України;Держлісагентство України;37507901
Державне агентство резерву;Держрезерв  України;37472392
Державне агентство рибного господарства України;Держрибагентство України;37472282
Державне агентство України з питань кіно;Держкіно  України;37508051
Державне агентство України з туризму та курортів;Держтуризмкурорт України;37728747
Державне агентство України з управління державними корпоративними правами та майном;Агентство держмайна України;37552967
Державне агентство України з управління зоною відчуження;ДАЗВ України;37536183
Державне космічне агентство України;ДКА України;00041482
Національне агентство з питань підготовки та проведення в Україні фінальної частини чемпіонату Європи 2012 року з футболу та реалізації інфраструктурних проектів;Укрєвроінфрапроект;37026967
Державний комітет телебачення і радіомовлення України;Держкомтелерадіо України;00013936
Державний центр інформаційних ресурсів;Держінформресурс;30855996
Національна академія педагогічних наук;НАПН;00046077
Верховна Рада України;ВРУ;00000002
Державна авіаційна служба України;Державіаслужба України;37536026
Державна архівна служба України;Укрдержархів;37552598
Державна ветеринарна та фітосанітарна служба України;Держветфітослужба України;37472261
Державна виконавча служба України;ДВС України;37471975
Державна казначейська служба України;Казначейство України;37567646
Державна митна служба;Держмитслужба;00033005
Державна міграційна служба України;ДМС України;37508470
Державна пенітенціарна служба України;ДПтС  України;37534799
Державна податкова служба України;ДПС  України;37472277
Державна пробірна служба України;Пробірна служба України;37472387
Державна реєстраційна служба України;Укрдержреєстр;37508344
Державна санітарно-епідеміологічна служба України;Держсанепідслужба України;37508109
Державна служба геології та надр України;Держгеонадра України;37536031
Державна служба гірничого нагляду та промислової безпеки України;Держгірпромнагляд України;37567777
Державна служба експортного контролю України;Держекспортконтроль  України;00010300
Державна служба з питань інвалідів та ветеранів України;Державна служба з питань інвалідів та ветеранів України;37508245
Державна служба інтелектуальної власності України;Державна служба інтелектуальної власності України;37552556
Державна служба молоді та спорту;Держмолодьспорт;37700501
Державна служба статистики України;Держстат України;37507880
Державна служба України з лікарських засобів;Держлікслужба України;37769480
Державна служба України з питань захисту персональних даних;ДСЗПД України;37508334
Державна служба України з питань протидії ВІЛ-інфекції/СНІДу та інших соціально небезпечних захворювань;Держслужба України соцзахворювань;37567709
Державна служба фінансового моніторингу;Держфінмоніторинг України;37471802
Державна архітектурно-будівельна інспекція України;Держархбудінспекція України;37471912
Державна екологічна інспекція України;Держекоінспекція України;37508533
Державна інспекція навчальних закладів України;ДІНЗ України;37849203
Державна інспекція сільського господарства України;Держсільгоспінспекція України;37471760
Державна інспекція з техногенної безпеки;Держтехногенбезпеки;37508025
Державна інспекція України з безпеки на наземному транспорті;Укртрансінспекція України;37994305
Державна інспекція України з безпеки на морському та річковому транспорті;Укрморрічінспекція;37819074
Державна інспекція України з питань прав споживачів;Держспоживінспекція України;37641677
Державна інспекція України з питань праці;Держпраці України;37567798
Державна інспекція ядерного регулювання України;Держатомрегулювання України;21721086
Державна фінансова інспекція України;Держфінінспекція України;37393358
Адміністрація Державної прикордонної служби України;Адміністрація Держприкордонслужби України;00034039
Адміністрація Державної служби спеціального зв'язку та захисту інформації України;Держспецзв'язку України;34620942
Національна комісія що здійснює державне регулювання у сфері ринків фінансових послуг;Нацкомфінпослуг;38062828
Пенсійний фонд України;Пенсійний фонд України;00035323
Антимонопольний комітет України;Антимонопольний комітет України;00032767
Фонд державного майна України;Фонд державного майна України;00032945
Національне агентство України з питань державної служби;Нацдержслужба  України;37819430
Державна служба України з контролю за наркотиками;ДСКН України;37772874
Державне агентство автомобільних доріг України;Укравтодор;37641918
Державна служба України з питань регуляторної політики та розвитку підприємництва;Держпідприємництво України;38005047
Державна інспекція з контролю за цінами;Держцінінспекція України;38005487
Національна комісія з цінних паперів та фондового ринку;НКЦПФР;37956207
Національна комісія, що здійснює державне регулювання у сфері енергетики;НКРЕ;38022261
Администрация Президента Украины;Администрация Президента;00000001
Міністерство доходів і зборів України;Міндоходів України;38516786
Державна служба України з надзвичайних ситуацій;ДСНС України;38516849
Міністерство молоді та спорту України;Мінмолодьспорт України;38649881
Державна служба зайнятості України;Державна служба зайнятості України;38750422
Міністерство промислової політики України;Мінпромполітики України;38612280
