name;intCode;code3
Австралійський долар;36;AUD
Агвія;478;MRO
Азербайджанський манат;31;AZN
Алжирський динар;12;DZD
Аргентинський песо;32;ARS
Арубський ґульден;533;AWG
Афгані;4;AFN
Багамський долар;44;BSD
Бальбоа;590;PAB
Барбадоський долар;52;BBD
Бат;764;THB
Бахрейнський динар;48;BHD
Белізький долар;84;BZD
Бермудський долар;60;BMD
Білоруський рубль;974;BYR
Болгарський лев;975;BGN
Болівіано;68;BOB
Бразильський ріал;986;BRL
Брунейський долар;96;BND
Бурундійський франк;108;BIF
Вату;548;VUV
Вірменський драм;51;AMD
Вон;410;KRW
Гривня;980;UAH
Гуарані;600;PYG
Гурд;332;HTG
Ґаянський долар;328;GYD
Ґвінейський франк;324;GNF
Гібралтарський фунт;292;GIP
Даласі;270;GMD
Данська крона;208;DKK
Денар;807;MKD
Джибутійський франк;262;DJF
Дірхем ОАЕ;784;AED
Добра;678;STD
Долар Гонконґу;344;HKD
Долар Зімбабве;716;ZWD
Долар Кайманових островів;136;KYD
Долар Соломонових островів;90;SBD
Долар США;840;USD
Долар Тринідаду і Тобаго;780;TTD
Домініканський песо;214;DOP
Донг;704;VND
Ескудо Кабо-Верде;132;CVE
Ефіопський бір;230;ETB
Євро;978;EUR
Єгипетський фунт;818;EGP
Єменський ріал;886;YER
Єна;392;JPY
Злотий;985;PLN
Індійська рупія;356;INR
Іракський динар;368;IQD
Іранський ріал;364;IRR
Ісландська крона;352;ISK
Йорданський динар;400;JOD
Канадський долар;124;CAD
Катарський ріал;634;QAR
Кванза;973;AOA
Замбійська квача;894;ZMW
Малавійська квача;454;MWK
Кенійський шилінг;404;KES
Кіна;598;PGK
Кіп;418;LAK
Колумбійський песо;170;COP
Коморський франк;174;KMF
Конвертована марка;977;BAM
Конґолезький франк;976;CDF
Кордоба Оро;558;NIO
Костариканський колон;188;CRC
Кубинський песо;192;CUP
Кувейтський динар;414;KWD
КФА франк BCEAO1;952;XOF
КФА франк BEAC2;950;XAF
КФП франк;953;XPF
К'ят;104;MMK
Ларі;981;GEL
Латвійський лат;428;LVL
Лев;100;BGN
Лей;642;RON
Лек;8;ALL
Лемпіра;340;HNL
Леоне;694;SLL
Литовський літ;440;LTL
Ліберійський долар;430;LRD
Ліванський фунт;422;LBP
Лівійський динар;434;LYD
Ліланджені;748;SZL
Лоті;426;LSL
Маврикійська рупія;480;MUR
Малаґасійський аріарі;969;MGF
Малайзійський рінгіт;458;MYR
Марокканський дірхем;504;MAD
Мексиканський песо;484;MXN
Молдовський лей;498;MDL
Накфа;232;ERN
Намібійський долар;516;NAD
Наїра;566;NGN
Нгултрум;64;BTN
Непальська рупія;524;NPR
Нідерландський Ант. Гульден;532;ANG
Новий ізраїльський шекель;376;ILS
Новий сол;604;PEN
Новий тайванський долар;901;TWD
Новозеландський долар;554;NZD
Норвезька крона;578;NOK
Оманський ріал;512;OMR
Паанґа;776;TOP
Пакистанська рупія;586;PKR
Патака;446;MOP
Песо Ґвінеї-Бісау;624;GWP
Північнокорейський вон;408;KPW
Пула;72;BWP
Ренд;710;ZAR
Рієл;116;KHR
Російський рубль;810;RUB
Російський рубль;643;RUB
Руандійський франк;646;RWF
Рупія;360;IDR
Рупія Шрі-Ланки;144;LKR
Руфія;462;MVR
Сальвадорський колон;222;SVC
Саудівський ріал;682;SAR
Сейшельська рупія;690;SCR
Синґапурський долар;702;SGD
Сирійський фунт;760;SYP
Сом;417;KGS
Сомалійський шилінг;706;SOS
Сомоні;972;TJS
Суданський динар;736;SDG
Сурінамський долар;740;SRD
Східнокарибський долар;951;XCD
Суданський фунт;938;SDG
Така;50;BDT
Тала;882;WST
Танзанійський шилінг;834;TZS
Тенге;398;KZT
Монгольський тугрик;496;MNT
Туніський динар;788;TND
Турецька ліра;792;TRY
Туркменський манат;795;TMT
Уґандійський шилінг;800;UGX
Узбецький сум;860;UZS
Уруґвайський песо;858;UYU
Фіджійський долар;242;FJD
Філіппінський песо;608;PHP
Форинт;348;HUF
Фунт Святої Єлени;654;SHP
Фунт стерлінгів;826;GBP
Фунт Фолклендських островів;238;FKP
Хорватська куна;191;HRK
Чеська крона;203;CZK
Чилійський песо;152;CLP
Шведська крона;752;SEK
Швейцарський франк;756;CHF
Юань Женьміньбі;156;CNY
Ямайський долар;388;JMD
